Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_3250257	101.9721	36	2.813574	0.1558442
ILMN_1683883	277.1636	29	12.2553	0
ILMN_1670193	98.68965	22	2.246691	0.3337662
ILMN_2319825	594.881	22	26.87078	0
ILMN_1694233	687.2166	24	26.40837	0
ILMN_1686432	139.9681	25	3.375232	0
ILMN_1697550	113.3286	32	2.931596	0.005194805
ILMN_2158705	166.1207	14	5.399557	0
ILMN_1803686	515.723	22	25.35928	0
ILMN_1745580	93.89693	25	1.755935	0.7233766
ILMN_1745108	96.89831	17	3.040852	0.4831169
ILMN_1725043	146.7117	21	4.806385	0
ILMN_2148360	108.1917	24	3.430056	0.03116883
ILMN_1718946	152.4844	21	5.524048	0
ILMN_1711374	97.02246	17	2.491703	0.4688312
ILMN_1726266	101.3655	22	2.673568	0.1831169
ILMN_1705689	99.79153	17	2.954542	0.2558441
ILMN_1785393	96.55132	19	3.657597	0.5194805
ILMN_2384544	152.0673	16	7.148144	0
ILMN_1756920	637.6184	25	20.70185	0
ILMN_1799728	139.5072	14	6.825496	0
ILMN_1751500	110.3747	23	2.683357	0.02207792
ILMN_2121068	194.6682	14	6.544648	0
ILMN_1765779	106.1859	24	2.513393	0.05194805
ILMN_2201386	99.61877	20	3.354249	0.2701299
ILMN_1682225	92.40916	16	3.018778	0.8285714
ILMN_1788481	97.10226	25	3.342927	0.4623377
ILMN_1713751	100.0559	20	2.285466	0.2454545
ILMN_1662675	108.8451	26	2.848954	0.02597403
ILMN_1737629	87.16576	28	1.856834	0.9844156
ILMN_1812112	99.97926	16	3.851609	0.2480519
ILMN_3241313	105.0097	18	3.590067	0.07012987
ILMN_1675210	98.5401	16	3.726244	0.3480519
ILMN_1706302	99.74551	12	7.101091	0.261039
ILMN_2351754	91.35946	27	2.286961	0.8961039
ILMN_2060086	91.87172	29	1.996938	0.8675325
ILMN_1664236	87.23426	15	2.280465	0.9844156
ILMN_1664631	93.33434	17	2.987143	0.7545455
ILMN_1802100	88.28397	27	2.396523	0.9753247
ILMN_2194158	119.4839	14	5.463383	0
ILMN_2100871	99.40174	13	2.370821	0.2818182
ILMN_1806841	104.8549	28	3.20544	0.07272727
ILMN_1798045	98.66453	15	3.38662	0.3363636
ILMN_2293012	90.97401	13	2.384281	0.9077922
ILMN_1703383	101.0543	24	3.683352	0.1922078
ILMN_1651657	95.27505	22	2.970562	0.6207792
ILMN_1671297	94.97826	22	3.310307	0.6428571
ILMN_1669486	95.80296	20	3.578824	0.5779221
ILMN_1795204	100.3881	11	3.222017	0.2298701
ILMN_2223911	91.60206	20	3.251885	0.8857143
ILMN_1685531	93.43469	13	3.36144	0.7480519
ILMN_1764554	93.92633	21	2.150045	0.7233766
ILMN_2302214	95.08982	22	2.566974	0.6337662
ILMN_1783312	101.8039	23	3.565864	0.1597403
ILMN_2143210	91.55524	15	2.129634	0.8883117
