Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_a.AVG_Signal	KHYG1_si308_a.Avg_NBEADS	KHYG1_si308_a.BEAD_STDERR	KHYG1_si308_a.Detection Pval
ILMN_1683781	108.5513	15	6.219814	0.03896104
ILMN_1726247	97.28455	28	2.095697	0.6090909
ILMN_1682989	105.1155	33	2.683301	0.09740259
ILMN_1739872	98.6404	25	2.411231	0.4896104
ILMN_1770152	93.59718	20	2.872167	0.8844156
ILMN_1656171	97.26032	21	1.535323	0.6090909
ILMN_1796628	107.3141	28	3.422475	0.06233766
ILMN_1811765	98.86954	26	2.239731	0.4727273
ILMN_1791795	94.88123	22	3.093313	0.8090909
ILMN_1787908	96.39095	23	3.314949	0.6909091
ILMN_1651717	100.7436	26	2.294674	0.3298701
ILMN_1703803	95.54458	11	4.802676	0.7558442
ILMN_2092933	111.081	20	2.891863	0.01948052
ILMN_1681886	96.95222	31	2.136087	0.6324675
ILMN_1767362	97.82683	22	3.770386	0.561039
ILMN_3251322	98.52577	26	2.964416	0.4961039
ILMN_2211790	91.94823	18	2.301904	0.9532468
ILMN_1672403	106.245	19	2.895585	0.07662338
ILMN_1805543	102.0872	23	3.94278	0.2402597
ILMN_1706992	96.12925	23	2.995344	0.7051948
ILMN_1684919	93.35172	23	3.345368	0.9025974
ILMN_1727084	108.1286	19	4.189472	0.04935065
ILMN_1705250	95.97252	27	2.616639	0.7142857
ILMN_1722621	95.4941	26	2.436457	0.7584416
ILMN_1721495	96.43676	24	1.796397	0.687013
ILMN_1798690	106.681	14	5.402593	0.06753246
ILMN_1687035	103.0975	20	3.455497	0.1857143
ILMN_1777683	95.95988	21	1.687787	0.7168831
ILMN_1762294	97.60835	28	2.930875	0.5753247
ILMN_1793040	124.4778	25	2.457811	0.001298701
