Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_b.AVG_Signal	KHYG1_si308_b.Avg_NBEADS	KHYG1_si308_b.BEAD_STDERR	KHYG1_si308_b.Detection Pval
ILMN_1716832	104.3085	18	1.989171	0.08961039
ILMN_1684585	165.6882	15	3.345551	0
ILMN_2360705	554.2348	20	19.98852	0
ILMN_1654414	115.7695	13	4.905375	0.002597403
ILMN_1666096	142.7085	27	4.456421	0
ILMN_2391458	105.2254	26	3.331659	0.06363636
ILMN_2285506	94.05257	22	2.915789	0.7350649
ILMN_1691714	94.15679	29	1.721347	0.7246753
ILMN_1683598	365.1053	29	9.774096	0
ILMN_2370882	171.7875	21	6.650389	0
ILMN_2273911	104.2284	17	3.140403	0.08961039
ILMN_1807914	92.96545	22	2.289966	0.8285714
ILMN_1678517	104.8626	24	3.971529	0.08051948
ILMN_1705247	405.5724	16	10.64469	0
ILMN_1737418	103.272	20	3.797208	0.1246753
ILMN_2278242	97.38154	18	2.523268	0.4467532
ILMN_1730025	94.7739	11	1.848333	0.6701299
ILMN_2378555	92.83508	20	2.995528	0.8363636
ILMN_1661434	96.38033	21	2.94608	0.5220779
ILMN_1809623	100.0417	18	3.576558	0.2584416
ILMN_1657592	95.91798	22	2.713166	0.5714286
ILMN_1765912	98.41452	27	2.450003	0.3636364
ILMN_1746128	104.2573	17	4.201565	0.08961039
ILMN_1685952	104.6742	25	1.929797	0.08441558
ILMN_1662738	113.7994	26	3.697069	0.007792208
ILMN_1771084	121.7162	21	3.148743	0.001298701
ILMN_1791923	88.15348	24	1.678932	0.9883117
ILMN_1801698	97.448	19	3.436879	0.4415585
ILMN_1766966	95.61863	19	3.586163	0.5896104
ILMN_2070792	94.97847	17	3.581477	0.6493506
ILMN_1752269	167.2673	20	6.941094	0
ILMN_1697510	98.99439	14	2.899916	0.3233766
ILMN_2254962	97.59285	20	2.926358	0.4350649
ILMN_2336595	105.8778	17	3.479886	0.05324675
ILMN_1714197	113.1194	19	3.792492	0.007792208
ILMN_1742859	98.28001	21	2.032914	0.3805195
ILMN_1659885	103.4226	19	3.496931	0.1181818
ILMN_2125869	98.72059	20	3.121017	0.3428572
ILMN_1671703	256.7159	36	6.742838	0
ILMN_2152131	11174.44	26	367.1283	0
ILMN_1777296	9008.501	23	378.3768	0
ILMN_2038777	6940.823	19	197.9303	0
ILMN_3246895	96.10776	17	2.903224	0.5493507
ILMN_1658660	94.03127	27	2.400625	0.7363636
ILMN_1829919	99.59679	23	3.099839	0.287013
ILMN_2053178	15106.19	15	480.4798	0
ILMN_1704961	7220.545	15	275.9594	0
ILMN_1795325	93.60101	20	2.226098	0.774026
ILMN_1749297	955.9721	28	35.60869	0
ILMN_2328280	814.9476	11	51.0368	0
ILMN_1657855	96.73615	14	3.161551	0.4948052
ILMN_1717900	94.41054	28	2.450983	0.7012987
ILMN_1796088	96.67188	25	1.822744	0.5025974
ILMN_1704078	104.6013	19	5.315026	0.08571429
ILMN_2232177	91.4147	29	2.402726	0.9
ILMN_1654422	100.9006	23	3.509256	0.2181818
ILMN_1665691	99.4315	14	3.220078	0.3
ILMN_1725534	240.4315	17	11.67176	0
ILMN_1798254	392.7024	19	17.28749	0
ILMN_1792314	305.5904	20	7.742187	0
ILMN_1695821	301.7028	20	5.811938	0
ILMN_2388605	1932.666	17	81.56078	0
ILMN_1657153	949.9	20	38.27532	0
ILMN_2260392	131.5401	25	6.449608	0
ILMN_2346451	100.0457	21	3.03946	0.2584416
ILMN_1787513	128.2106	27	4.035472	0
ILMN_1680941	99.00977	22	3.195435	0.3233766
ILMN_1652594	185.4301	21	5.758741	0
ILMN_1697585	316.9991	26	9.549526	0
ILMN_1689162	122.3871	20	2.923195	0.001298701
ILMN_1815392	124.524	21	3.986118	0
ILMN_3241416	92.71384	19	3.110368	0.8493506
ILMN_1760490	191.4934	23	5.034245	0
ILMN_1786544	97.55175	15	5.412858	0.4376623
ILMN_1763916	101.4983	25	3.390627	0.1909091
ILMN_2243308	288.0299	33	9.477096	0
ILMN_1766723	94.33506	22	2.192106	0.7077922
ILMN_1689217	91.93602	19	2.869656	0.8857143
ILMN_1670912	98.99545	27	1.797645	0.3233766
ILMN_2152711	110.907	14	4.526536	0.01298701
ILMN_1668983	90.15873	16	3.579783	0.9558442
ILMN_1824337	96.82067	21	2.706041	0.4883117
ILMN_1807493	97.26388	17	2.527457	0.4571429
ILMN_3250257	96.55254	31	2.424741	0.5064935
ILMN_1683883	299.7732	26	12.34378	0
ILMN_1670193	98.12833	32	2.804435	0.3935065
ILMN_2319825	651.8265	21	27.74437	0
ILMN_1694233	616.8704	18	23.35472	0
ILMN_1686432	150.7995	22	4.674663	0
ILMN_1697550	113.4457	21	3.107582	0.007792208
ILMN_2158705	164.1074	24	6.418781	0
ILMN_1803686	513.5648	35	15.02111	0
ILMN_1745580	94.52037	21	2.848585	0.6922078
ILMN_1745108	93.623	20	2.106703	0.7714286
ILMN_1725043	160.97	17	6.753088	0
ILMN_2148360	116.1809	20	4.266724	0.002597403
ILMN_1718946	183.8976	23	7.02371	0
ILMN_1711374	101.324	23	2.889816	0.1987013
ILMN_1726266	100.2995	18	4.094466	0.2480519
ILMN_1705689	100.3952	14	4.000129	0.2441558
ILMN_1785393	94.90619	19	2.338409	0.6558442
ILMN_2384544	156.2498	24	5.939993	0
ILMN_1756920	676.2045	25	14.81874	0
ILMN_1799728	130.393	26	3.791926	0
ILMN_1751500	110.8126	19	4.927953	0.01298701
ILMN_2121068	229.1706	24	7.987096	0
ILMN_1765779	107.229	16	4.079037	0.03896104
ILMN_2201386	93.26071	30	2.0612	0.8090909
ILMN_1682225	90.31224	16	2.670537	0.9506493
ILMN_1788481	92.29957	20	2.484781	0.874026
ILMN_1713751	101.8952	24	3.439488	0.1753247
ILMN_1662675	104.6231	20	2.132379	0.08571429
ILMN_1737629	90.28636	30	2.486794	0.9532468
ILMN_1812112	97.957	19	3.454897	0.4064935
ILMN_3241313	105.7353	22	3.56871	0.05454545
ILMN_1675210	107.9581	21	3.650516	0.02857143
ILMN_1706302	94.25507	17	2.559741	0.7181818
