Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_2371379	957.1714	27	44.52078	0
ILMN_1749014	497.5587	12	23.17473	0
ILMN_1727091	93.38185	16	4.415527	0.6753247
ILMN_1771348	983.1037	20	46.50444	0
ILMN_2134039	608.3664	21	33.96024	0
ILMN_1750800	407.9335	20	11.82946	0
ILMN_1654861	267.3861	15	11.73408	0
ILMN_2121389	98.76934	22	2.686924	0.2376623
ILMN_1715543	89.04596	24	3.239575	0.9467533
ILMN_1739594	91.48594	22	3.075429	0.8207792
ILMN_2353978	104.7512	14	2.018076	0.05194805
ILMN_1785474	94.14501	25	2.211423	0.6090909
ILMN_2188959	89.57683	31	2.122077	0.9337662
ILMN_1716237	92.57516	18	2.441137	0.7493507
ILMN_1764321	90.45451	23	2.138262	0.8922078
ILMN_2156699	96.71626	18	1.575445	0.3805195
ILMN_1784756	96.52923	22	3.230026	0.4051948
ILMN_1728883	96.89237	18	3.783733	0.3701299
ILMN_1740265	1779.977	20	84.65981	0
ILMN_1788078	99.29664	25	2.669353	0.2077922
ILMN_2252621	94.90865	25	2.826452	0.5337662
ILMN_2332250	654.5583	24	35.25908	0
ILMN_1719178	91.77712	22	3.459466	0.8064935
ILMN_1679600	158.8218	15	7.606261	0
ILMN_2367070	136.8353	14	6.52358	0
ILMN_1658995	167.4637	20	6.404061	0
ILMN_1750158	117.03	15	3.053065	0.001298701
ILMN_1668839	94.69456	29	2.794995	0.5532467
ILMN_1765767	92.89622	32	2.296987	0.7207792
ILMN_1685703	118.411	18	1.292892	0.001298701
ILMN_1743396	172.0078	20	9.519397	0
ILMN_1743680	94.46744	17	3.073911	0.5792208
ILMN_1669633	576.5472	20	34.23581	0
ILMN_2344956	3104.519	17	172.5255	0
ILMN_2104830	153.4521	15	7.689424	0
ILMN_2078599	94.89921	24	2.111745	0.5350649
ILMN_2234343	89.8676	20	1.912036	0.9233766
ILMN_1706598	144.782	21	5.51563	0
ILMN_2306955	148.4627	30	3.15599	0
ILMN_1758323	91.53665	18	3.235206	0.8207792
ILMN_1728331	104.8723	14	3.803329	0.05064935
ILMN_2351906	100.6146	17	3.960882	0.151948
ILMN_1705637	93.90898	34	2.329144	0.6311688
ILMN_1784203	96.88293	27	2.850396	0.3701299
ILMN_1666690	110.3872	21	3.110891	0.01168831
ILMN_1654468	102.083	23	2.47332	0.1038961
ILMN_2320277	97.99686	19	3.675982	0.2818182
ILMN_2227011	97.75641	18	2.901088	0.3025974
ILMN_1730002	106.0377	23	3.271006	0.04155844
ILMN_3236756	125.8861	25	2.6375	0
ILMN_1716832	96.20168	20	2.706724	0.4324675
ILMN_1684585	156.665	23	4.769696	0
ILMN_2360705	509.5591	31	15.87473	0
ILMN_1654414	106.2131	13	3.964915	0.03766234
ILMN_1666096	135.017	24	4.749821	0
ILMN_2391458	109.995	20	4.021294	0.01428571
ILMN_2285506	95.00301	14	2.96189	0.5285714
ILMN_1691714	96.05274	22	3.357105	0.4428571
ILMN_1683598	284.2769	16	8.694286	0
ILMN_2370882	174.4721	17	7.393476	0
ILMN_2273911	91.43112	16	2.681231	0.825974
ILMN_1807914	90.37112	22	1.753061	0.8935065
ILMN_1678517	104.8637	21	4.166793	0.05064935
ILMN_1705247	404.9644	23	9.694111	0
ILMN_1737418	103.2251	18	2.842591	0.07402597
ILMN_2278242	97.13863	28	2.344318	0.3532467
ILMN_1730025	90.05918	18	2.52343	0.912987
ILMN_2378555	95.01118	31	2.447074	0.5272727
ILMN_1661434	93.5986	23	3.107779	0.6571429
ILMN_1809623	95.33604	19	2.75176	0.5090909
ILMN_1657592	89.73579	17	3.83966	0.9272727
ILMN_1765912	93.13287	22	2.938683	0.7025974
ILMN_1746128	93.65684	22	3.346586	0.6558442
ILMN_1685952	102.5855	21	3.515548	0.08961039
ILMN_1662738	103.6922	19	2.728878	0.06233766
ILMN_1771084	110.4209	22	2.420992	0.01168831
ILMN_1791923	91.79908	22	2.761616	0.8051948
ILMN_1801698	95.54676	25	2.507769	0.4896104
ILMN_1766966	94.01252	25	2.022298	0.6220779
ILMN_2070792	93.59152	20	2.721322	0.6584415
ILMN_1752269	197.7959	24	5.77859	0
ILMN_1697510	104.4633	22	4.582469	0.05454545
ILMN_2254962	83.71424	13	2.891328	0.9987013
ILMN_2336595	106.7884	33	2.231889	0.03376623
ILMN_1714197	116.1197	21	3.100331	0.001298701
ILMN_1742859	100.0186	28	3.648205	0.1727273
ILMN_1659885	91.52929	19	2.497221	0.8207792
ILMN_2125869	92.84726	25	1.733801	0.7246753
ILMN_1671703	192.3704	13	7.767312	0
ILMN_2152131	11827.41	18	411.0943	0
ILMN_1777296	8698.7	19	404.8233	0
ILMN_2038777	7415.757	25	219.3464	0
ILMN_3246895	93.34999	26	2.575303	0.6766234
ILMN_1658660	99.6055	27	3.104018	0.1935065
ILMN_1829919	99.55798	24	3.198971	0.1948052
ILMN_2053178	13842.19	22	389.4227	0
ILMN_1704961	6515.405	23	277.3672	0
ILMN_1795325	91.96268	26	2.223903	0.7974026
ILMN_1749297	935.042	16	53.41605	0
ILMN_2328280	740.377	25	47.20007	0
ILMN_1657855	96.66871	20	4.139289	0.3922078
ILMN_1717900	93.71978	28	2.500326	0.651948
ILMN_1796088	96.35117	22	2.270179	0.4155844
ILMN_1704078	96.32893	18	2.594497	0.4181818
ILMN_2232177	96.59586	30	2.214414	0.4012987
ILMN_1654422	92.62569	20	2.975337	0.7454545
ILMN_1665691	99.71054	19	3.590059	0.1844156
ILMN_1725534	259.2371	19	9.470812	0
ILMN_1798254	294.2249	17	20.69518	0
ILMN_1792314	323.9631	30	8.297919	0
ILMN_1695821	283.3887	16	11.21664	0
ILMN_2388605	2193.44	19	123.8048	0
ILMN_1657153	974.2246	19	55.56715	0
ILMN_2260392	109.4921	21	3.566033	0.01428571
ILMN_2346451	107.6343	23	3.193866	0.03116883
ILMN_1787513	114.8126	22	3.22009	0.001298701
ILMN_1680941	98.34068	19	3.432589	0.2584416
ILMN_1652594	200.5571	22	10.05244	0
ILMN_1697585	219.3719	32	6.355937	0
ILMN_1689162	123.1048	22	5.203216	0
ILMN_1815392	120.4072	22	2.710023	0
ILMN_3241416	91.65228	30	2.307795	0.8103896
ILMN_1760490	153.1393	24	6.202053	0
ILMN_1786544	99.25915	17	2.335857	0.2103896
ILMN_1763916	103.9652	25	3.324585	0.05974026
ILMN_2243308	239.369	28	7.580978	0
ILMN_1766723	100.8685	26	2.053655	0.1363636
ILMN_1689217	101.8017	23	3.383384	0.112987
ILMN_1670912	90.50344	28	1.79012	0.8896104
ILMN_2152711	91.85083	12	3.505357	0.8038961
ILMN_1668983	91.11485	22	2.119877	0.851948
ILMN_1824337	96.85863	19	3.048726	0.3714286
ILMN_1807493	91.65084	24	2.481567	0.8116883
ILMN_3250257	89.71828	21	2.622611	0.9285714
ILMN_1683883	246.0743	23	11.41751	0
ILMN_1670193	107.619	21	2.64079	0.03116883
ILMN_2319825	514.0412	16	17.56043	0
ILMN_1694233	555.1883	22	25.34833	0
ILMN_1686432	137.2522	18	6.743802	0
ILMN_1697550	102.0892	24	3.016786	0.1025974
ILMN_2158705	146.2784	24	4.751311	0
ILMN_1803686	693.5439	23	19.05422	0
ILMN_1745580	95.56402	23	2.554017	0.4883117
ILMN_1745108	91.24657	19	3.544819	0.8441558
ILMN_1725043	148.0032	27	4.810456	0
ILMN_2148360	113.4117	24	2.658239	0.005194805
ILMN_1718946	168.4952	15	6.770043	0
ILMN_1711374	101.4062	16	2.184686	0.1220779
ILMN_1726266	95.55956	17	2.53866	0.4896104
ILMN_1705689	101.3395	20	3.679518	0.1233766
ILMN_1785393	95.92875	18	2.676271	0.4545455
ILMN_2384544	159.967	22	7.280862	0
ILMN_1756920	717.3739	25	23.5922	0
ILMN_1799728	131.9571	21	6.723504	0
ILMN_1751500	105.2259	22	2.909159	0.04675325
ILMN_2121068	241.8613	16	7.738045	0
ILMN_1765779	107.6663	22	3.738162	0.03116883
ILMN_2201386	99.25419	20	3.69061	0.2103896
ILMN_1682225	93.01847	26	2.727257	0.7116883
ILMN_1788481	95.71015	27	2.860984	0.4779221
ILMN_1713751	94.75472	28	2.512765	0.5506493
ILMN_1662675	105.3353	24	2.942324	0.04675325
ILMN_1737629	86.14231	15	2.962771	0.9935065
ILMN_1812112	95.68214	22	2.954837	0.4792208
ILMN_3241313	96.82166	22	3.129094	0.3753247
ILMN_1675210	98.44841	29	2.393996	0.2506494
ILMN_1706302	91.55869	18	3.072301	0.8194805
ILMN_2351754	95.28596	18	4.633322	0.5155844
ILMN_2060086	88.91559	21	2.825868	0.9480519
ILMN_1664236	90.8021	27	1.973256	0.8688312
ILMN_1664631	89.91572	27	2.192589	0.9207792
ILMN_1802100	92.7879	17	2.945204	0.7285714
ILMN_2194158	118.5154	21	2.238562	0.001298701
ILMN_2100871	96.25018	14	1.947808	0.425974
ILMN_1806841	102.2243	34	2.348122	0.0987013
ILMN_1798045	94.96698	20	2.15568	0.5298702
ILMN_2293012	94.32015	30	3.684163	0.5909091
ILMN_1703383	104.8696	21	4.433306	0.05064935
ILMN_1651657	97.54086	24	1.368738	0.3168831
ILMN_1671297	96.39004	22	2.20676	0.4116883
ILMN_1669486	91.1626	25	2.439769	0.8493506
ILMN_1795204	94.85066	19	2.540462	0.5415584
ILMN_2223911	97.87341	19	2.870094	0.2961039
ILMN_1685531	95.03309	15	3.652502	0.5272727
